"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GenesInGo"
"1","GO:0033044","regulation of chromosome organization","37/468","245/14048",0.151020408163265,4.53319379033665,10.3568715371346,9.53792388024173e-15,3.84187573896137e-11,3.32522146224848e-11,"Wdhd1/Smc4/Ylpm1/Smarca5/Hmbox1/Ccnb1/Ik/Cct5/Prpf4b/Parp1/Cdc6/Top2a/Smarce1/Nvl/Cdk5rap2/Arid2/Gnl3/Dkc1/Cct3/Ndc80/Mre11a/Ptges3/Tcp1/Arid1a/Gen1/Atf7ip/Smarcc1/Nuf2/Tnks/Cct2/Smarca4/Baz1b/Prap1/Cct6a/Bub1b/Cit/Anapc1",37,245
"2","GO:0022613","ribonucleoprotein complex biogenesis","45/468","431/14048",0.104408352668213,3.13403533821167,8.3534207335645,9.1005187133504e-12,1.83284446886877e-08,1.58636410413771e-08,"Hsp90aa1/Ddx21/Dnttip2/Utp14b/Prpf8/Eif3a/Dhx9/Nol8/Drosha/Ddx10/Eif3c/Ago2/Mphosph10/Prpf4b/Nvl/Scaf11/Dkc1/Ncl/Wdr3/Gtpbp4/Ptges3/Mtrex/Dhx29/Slu7/Pdcd11/Eif2a/Krr1/Heatr1/Ddx3x/Mak16/Nop58/Bms1/Gnl2/Gemin5/Nol11/Sdad1/Wdr75/Chd7/Snrnp200/Ncbp1/Tsr1/Esf1/Crnkl1/Ftsj3/Eif2s2",45,431
"3","GO:0000819","sister chromatid segregation","29/468","221/14048",0.131221719457014,3.93889469002591,8.17487296138234,2.63144279925045e-10,3.53315053179361e-07,3.05801352670789e-07,"Smc4/Smarca5/Ccnb1/Ik/Tpx2/Prpf4b/Cdc6/Top2a/Smarce1/Cdk5rap2/Arid2/Ndc80/Arid1a/Smc3/Gen1/Kif23/Smc1a/Smarcc1/Nuf2/Cltc/Smarca4/Mis12/Baz1b/Kpnb1/Prap1/Spag5/Bub1b/Cit/Anapc1",29,221
"4","GO:0006913","nucleocytoplasmic transport","34/468","326/14048",0.104294478527607,3.13061716742698,7.22554062792486,3.65043020256263e-09,2.94078657118446e-06,2.54531049071315e-06,"Xpo4/Hsp90aa1/Tnpo1/Nfatc3/Nup107/Nup153/Ipo5/Ahctf1/Dhx9/Nemf/Ddx19b/Prpf4b/Nup160/Mdfic/Xpo7/Prkd1/Ssb/Ipo7/Ep300/Kpna1/Uaca/Xpo5/Nsun2/Uhmk1/Nup133/Shh/Kpna2/Sdad1/Nup98/Ncbp1/Hspa8/Ncbp3/Cse1l/Kpnb1",34,326
"5","GO:0051169","nuclear transport","34/468","326/14048",0.104294478527607,3.13061716742698,7.22554062792486,3.65043020256263e-09,2.94078657118446e-06,2.54531049071315e-06,"Xpo4/Hsp90aa1/Tnpo1/Nfatc3/Nup107/Nup153/Ipo5/Ahctf1/Dhx9/Nemf/Ddx19b/Prpf4b/Nup160/Mdfic/Xpo7/Prkd1/Ssb/Ipo7/Ep300/Kpna1/Uaca/Xpo5/Nsun2/Uhmk1/Nup133/Shh/Kpna2/Sdad1/Nup98/Ncbp1/Hspa8/Ncbp3/Cse1l/Kpnb1",34,326
"6","GO:0006403","RNA localization","23/468","166/14048",0.13855421686747,4.15899495417568,7.60049344820353,6.71575837360952e-09,3.9104125707381e-06,3.3845414818075e-06,"Nup107/Fxr1/Nup153/Ahctf1/Dhx9/Ddx19b/Nup160/Dkc1/Igf2bp2/Tcp1/Ssb/Nop58/Xpo5/Nsun2/Nup133/Tnks/Cct2/Nup98/Ncbp1/Ncbp3/Igf2bp1/Kpnb1/Caprin1",23,166
"7","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","17/468","91/14048",0.186813186813187,5.60758899220438,8.18583943537257,6.79565243176930e-09,3.9104125707381e-06,3.3845414818075e-06,"Ccnb1/Ik/Prpf4b/Cdc6/Smarce1/Cdk5rap2/Arid2/Ndc80/Arid1a/Gen1/Smarcc1/Nuf2/Smarca4/Prap1/Bub1b/Cit/Anapc1",17,91
"8","GO:0006260","DNA replication","29/468","258/14048",0.112403100775194,3.37401444378189,7.14456693914363,9.94711270415772e-09,5.00837124654341e-06,4.33484701002242e-06,"Mcm4/Wdhd1/Smarca5/Exo1/Dhx9/Fancm/Rfwd3/Parp1/Cdc6/Gli1/Mcm10/Sin3a/Gtpbp4/Mre11a/E2f7/Orc2/Smc3/Supt16/Ticrr/Gen1/Nasp/Blm/Baz1a/Dnajc2/Top1/Rfc1/Pds5a/Ssrp1/Rrm1",29,258
"9","GO:0016072","rRNA metabolic process","28/468","246/14048",0.113821138211382,3.41657980682371,7.09843348112647,1.36358612065279e-08,5.49252489398945e-06,4.753891822739e-06,"Ddx21/Utp14b/Nol8/Drosha/Ddx10/Mphosph10/Polr1a/Nvl/Dkc1/Ncl/Wdr3/Gtpbp4/Mtrex/Pdcd11/Krr1/Heatr1/Mak16/Slfn9/Bms1/Top1/Nol11/Wdr75/Chd7/Smarca4/Polr1b/Tsr1/Esf1/Ftsj3",28,246
"10","GO:0044772","mitotic cell cycle phase transition","38/468","421/14048",0.0902612826603325,2.7093814077187,6.61065859448324,2.36636724253192e-08,8.66520659356233e-06,7.49991225575666e-06,"Ccnb1/Ik/Ezh2/Rfwd3/Prpf4b/Cdc6/Larp7/Smarce1/Ccnj/Cdk5rap2/Sin3a/Eif4g1/Arid2/Ndc80/Mre11a/Ccnd2/E2f7/Arid1a/Ddx3x/Ticrr/Gen1/Nasp/Blm/Smarcc1/Pbx1/Nuf2/Rint1/Bcl2/Trim71/Nae1/Nes/Smarca4/Hspa8/Prap1/Bub1b/Cit/Rrm1/Anapc1",38,421
"11","GO:0051983","regulation of chromosome segregation","19/468","125/14048",0.152,4.56259829059829,7.42711729839536,3.05453905905055e-08,9.19844057756165e-06,7.96143709634772e-06,"Smc4/Ccnb1/Ik/Prpf4b/Cdc6/Smarce1/Cdk5rap2/Arid2/Ndc80/Arid1a/Gen1/Smc6/Smarcc1/Nuf2/Smarca4/Prap1/Bub1b/Cit/Anapc1",19,125
"12","GO:0007059","chromosome segregation","36/468","390/14048",0.0923076923076923,2.77080867850099,6.58377868915112,3.16968333457947e-08,9.19844057756165e-06,7.96143709634772e-06,"Nde1/Ctcf/Smc4/Smarca5/Ccnb1/Ik/Tpx2/Prpf4b/Cdc6/Top2a/Smarce1/Cdk5rap2/Arid2/Ndc80/Mre11a/Arid1a/Smc3/Ddx3x/Gen1/Smc6/Haus6/Kif23/Smc1a/Smarcc1/Nuf2/Top1/Cltc/Smarca4/Mis12/Baz1b/Kpnb1/Prap1/Spag5/Bub1b/Cit/Anapc1",36,390
